sentence,pred_sentence,pred_sentence_tok,sentence_tok
เปิดระดับเสียงให้ถึงสิบเอ็ด,เปิดระดับเสียงให้ถึงสิบเอ็ด,เปิด ระดับเสียง ให้ ถึง สิบเอ็ด,เปิด ระดับเสียง ให้ ถึง สิบเอ็ด
เนื่องจากนมแม่มีสารอาหารครบถ้วน,เนื่องจากนมแม่มีสารอาหารครบถ้วน,เนื่องจาก นม แม่ มี สารอาหาร ครบถ้วน,เนื่องจาก นม แม่ มี สารอาหาร ครบถ้วน
ฉันแค่แตะโทรศัพท์แต่หน้าจอก็แตก,ฉันก็แตะโทรศัพท์แต่หน้าจอก็แตก,ฉัน ก็ แตะ โทรศัพท์ แต่ หน้าจอ ก็ แตก,ฉัน แค่ แตะ โทรศัพท์ แต่ หน้าจอ ก็ แตก
พวกเขาพูดเสียงกระซิบ,พวกเขาพูดเสียงกระซิบ,พวกเขา พูด เสียง กระซิบ,พวกเขา พูด เสียง กระซิบ
มาเลื่อนการเดินทางครั้งแรกกันเถอะ,มาเลื่อนการเดินทางครั้งแรกกันเถอะ,มา เลื่อน การ เดินทาง ครั้งแรก กัน เถอะ,มา เลื่อน การ เดินทาง ครั้งแรก กัน เถอะ
นกนางนวลจงใจที่จะก่อกวนพวกคนที่ไปปิกนิก,นกนางนวลจงใจที่จะกรอกกวนพวกคนผิดไปปิกนิก,นก นางนวล จงใจ ที่จะ กรอก กวน พวก คน ผิด ไป ปิกนิก,นก นางนวล จงใจ ที่จะ ก่อกวน พวก คน ที่ ไป ปิกนิก
ผมขอให้ท่านอภัยผมเขากล่าว,ผมขอให้ท่านอภัยผมเค้าก็เล่า,ผม ขอให้ ท่าน อภัย ผม เค้า ก็ เล่า,ผม ขอให้ ท่าน อภัย ผม เขา กล่าว
อลิซกับบ็อบอัธยาศัยดีมาก,ALICEกับป็อกอัธยาศัยดีมาก,ALICE กับ ป็อก อัธยาศัย ดีมาก,อ ลิ ซ กับ บ็อบ อัธยาศัย ดีมาก
ฉันมอบคำสัญญาของฉันให้คุณ,ฉันมอบคำสัญญาของฉันให้คุณ,ฉัน มอบ คำสัญญา ของ ฉัน ให้ คุณ,ฉัน มอบ คำสัญญา ของ ฉัน ให้ คุณ
เมื่อเครื่องมือเบลนดิงทำงานอัลฟ่าแชลแนลจะถูกใช้เพื่อปรับความเข้มจางของพื้นผิว,เมื่อเครื่องมือBLENDINGทำงานเอาฝาCHANELจะถูกใช้เพื่อปรับความเข็มร่างของพื้นผิว,เมื่อ เครื่องมือ BLENDING ทำงาน เอา ฝา CHANEL จะ ถูก ใช้ เพื่อ ปรับ ความ เข็ม ร่าง ของ พื้นผิว,เมื่อ เครื่องมือ เบล น ดิง ทำงาน อัลฟ่า แช ลแนล จะ ถูก ใช้ เพื่อ ปรับ ความ เข้ม จาง ของ พื้นผิว
