sentence,pred_sentence_tok
ไม่มีอะไรในกิริยาของเธอที่แสดงออกถึงความอ่อนแอหรือความเห็นอกเห็นใจอย่างตื่นเต้น,ไม่ มี อะไร ใน กริยา ของ เธอ ที่ แสดงออก ถึง ความ อ่อนแอ หรือ ความเห็นอกเห็นใจ อย่าง ตื่นเต้น
แตะเพื่อออก,แตะ เพื่อ ออก
ฉันยืนในขณะที่กำลังคิด,ฉัน ยืน ใน ขณะที่ กำลัง คิด
ประกอบโดยหนี้,ประกอบโดย หนี้
ฮาร์ดไดรฟ์กำลังถูกจัดเรียงข้อมูล,ฮาร์ดไดรฟ์ กำลัง ถูก จัดเรียง ข้อมูล
ฉันมีเงินเท่าไหร่อยู่ในบัญชี,ฉัน มีเงิน เท่าไร อยู่ ใน บัญชี
คุณแม่ของพวกเขานั่งเย็บผ้าด้านล่าง,คุณแม่ ของ พวกเขา นั่ง เย็บผ้า ด้านล่าง
สัตว์อ้วนโดยการเปลี่ยนทุ่งหญ้า,สัตว์ อ้วน ด้วย การ เปลี่ยน ทุ่งหญ้า
ในที่สุดก็มีคนคิดรหัสผ่านของคอมพิวเตอร์นี้,ในที่สุด ก็ มี คน คิด รหัสผ่าน ก่อ คอมพิวเตอร์ นี้
สิ่งของที่คนเกือบทุกคนใช้กันอยู่เกือบทุกวัน,สิ่งของ ที่ คน เกือบ ทุกคน ใช้ กัน อยู่ เกืับ ทุกวัน
มีความเงียบยาว,มี ความ เงียบ ยาว
คอศอ,คอ ศอ
มันมีอะไรที่น่าประหลาดใจอยู่ในของขวัญ,มัน มี อะไร ที่ น่า ประหลาดใจ อยู่ ใน ของขวัญ
ฉันบอกคุณได้เลย ว่ามันไม่ง่ายที่จะยับยั้งความก้าวหน้าของเธอ,ฉัน บอก คุณ ได้ เลย ว่า มัน ไม่ ง่าย ที่จะ ยับยั้ง ความก้าวหน้า ของ เธอ
ฉันพบว่าการยึดถือนอร์สและเซลติกน่าหลงใหล,ฉัน พบ ว่าการ ยึดถือ นอส และ เซกติก น่า หลงใหล
ย่างเนื้อให้สุก,ยาง เนื้อ ให้ สูบ
พระเจ้าแต่ฉันยินดีที่ได้เจอคุณอีกครั้งนะฟิล,พระเจ้า   แต่ ฉัน ยินดี ที่ ได้ เจอ คุณ อีกครั้ง   ฟิว
ประเด็นใหญ่มาก,ประเด็น ใหญ่ มาก
คุณแม่จะไปตลาดหรือคะ,คุณแม่ จะ ไป ตลาด หรือ คะ
ดูเหมือนเขาจะถูกใจเด็กหนุ่มคนนีขึ้นมาทันทีนะ,ดูเหมือนเขา จะ ถูกใจ เด็กหนุ่ม คน นี้ ขึ้น มา ทันที นะ
ฉันต้องตัดมุมเล็กน้อย,ฉัน ต้อง ตัดมุม เล็กน้อย
